temperature,alpha,hidden_size,accuracy
10.0,0.825,256,0.9736
6.0,0.9,256,0.9734
10.0,0.9,256,0.9731
10.0,0.75,256,0.9731
5.0,0.9,256,0.9728
1.0,0.75,256,0.9727
10.0,0.625,256,0.9725
3.75,0.625,256,0.9722
7.0,0.625,256,0.9721
7.0,0.5,256,0.972
3.5,0.9,256,0.972
3.0,0.825,256,0.9719
5.0,0.625,256,0.9719
4.0,0.75,256,0.9718
5.0,0.825,256,0.9717
3.0,0.375,256,0.9716
6.0,0.75,256,0.9716
4.0,0.825,256,0.9716
3.75,0.9,256,0.9715
6.0,0.625,256,0.9715
2.0,0.825,256,0.9715
0.5,0.9,256,0.9714
4.0,0.175,256,0.9714
3.0,0.5,256,0.9714
1.0,0.825,256,0.9714
7.0,0.9,256,0.9713
0.5,0.5,256,0.9712
0.5,0.825,256,0.9712
4.0,0.625,256,0.9712
3.75,0.5,256,0.9712
3.75,0.75,256,0.9711
7.0,0.75,256,0.9711
7.0,0.825,256,0.971
0.5,0.175,256,0.9709
1.0,0.625,256,0.9709
3.5,0.625,256,0.9709
5.0,0.5,256,0.9708
5.0,0.75,256,0.9707
3.5,0.375,256,0.9707
7.0,0.375,256,0.9707
0.5,0.75,256,0.9706
10.0,0.5,256,0.9705
3.0,0.625,256,0.9705
4.0,0.9,256,0.9705
3.0,0.75,256,0.9704
6.0,0.5,256,0.9704
3.0,0.25,256,0.9702
6.0,0.825,256,0.9702
0.5,0.375,256,0.9702
10.0,0.375,256,0.9701
2.0,0.625,256,0.9701
3.0,0.9,256,0.9701
4.0,0.5,256,0.97
3.75,0.825,256,0.97
3.0,0.175,256,0.9699
0.5,0.25,256,0.9699
3.5,0.75,256,0.9698
3.5,0.1,256,0.9698
3.75,0.375,256,0.9698
2.0,0.9,256,0.9697
10.0,0.25,256,0.9697
1.0,0.1,256,0.9696
6.0,0.375,256,0.9695
0.5,0.625,256,0.9694
5.0,0.1,256,0.9694
5.0,0.25,256,0.9693
1.0,0.375,256,0.9692
6.0,0.25,256,0.9692
3.5,0.25,256,0.9692
2.0,0.75,256,0.9692
2.0,0.25,256,0.9692
5.0,0.375,256,0.9691
1.0,0.9,256,0.9691
3.5,0.175,256,0.9691
1.0,0.175,256,0.9691
3.75,0.1,256,0.969
3.5,0.5,256,0.969
4.0,0.25,256,0.9689
6.0,0.175,256,0.9688
2.0,0.175,256,0.9687
3.75,0.25,256,0.9687
3.5,0.825,256,0.9686
7.0,0.25,256,0.9686
5.0,0.175,256,0.9686
2.0,0.5,256,0.9685
6.0,0.1,256,0.9684
4.0,0.1,256,0.9684
7.0,0.1,256,0.9683
1.0,0.25,256,0.9683
4.0,0.375,256,0.9683
2.0,0.375,256,0.9682
7.0,0.175,256,0.968
1.0,0.5,256,0.9675
0.5,0.1,256,0.9674
10.0,0.1,256,0.9674
3.0,0.1,256,0.967
2.0,0.1,256,0.9669
10.0,0.75,128,0.9669
3.75,0.175,256,0.9668
7.0,0.75,128,0.9666
10.0,0.175,256,0.9659
6.0,0.9,128,0.9658
1.0,0.625,128,0.9656
5.0,0.825,128,0.9656
7.0,0.9,128,0.9656
10.0,0.9,128,0.9655
10.0,0.825,128,0.9654
3.5,0.625,128,0.9653
